,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 757,24",,МП6407,Акт о браке 000021746 от 01.12.2025 10:42:17,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 757,24",,МП6444,Акт о браке 000021932 от 09.12.2025 13:33:08,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 757,24",,МП6461,Акт о браке 000022070 от 23.12.2025 10:06:32,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 344,09",,МП6401,Акт о браке 000021739 от 01.12.2025 9:49:51,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 344,09",,МП6402,Акт о браке 000021738 от 01.12.2025 9:44:16,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 344,09",,МП6408,Акт о браке 000021743 от 01.12.2025 9:59:25,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 344,09",,МП6409,Акт о браке 000021744 от 01.12.2025 10:01:17,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 344,09",,МП6410,Акт о браке 000021745 от 01.12.2025 10:03:51,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
