Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
,,,,,,,,,,,,,,,281,,"1 266 815,75"
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д5967,бой при хранении (клиент),"раковина с трещиной,при приемке не осмотрели,так как был большое кол-во  товара",КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"2 730,30"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д5916,заводской брак,прыщ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д5874,заводской брак,металлизация,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-компакт ""W 103"" GESSO  гор.выпуск,  2 уров. арматура, сид. дюропласт,soft-close микролифт",,,,д5869,заводской брак,скол на бачке,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002054 от 04.09.2025 8:35:45,,Существенный,1,,"5 723,08"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д5872,заводской брак,металлизация,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок 5005 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д5862,заводской брак,трещина под крышкой бачка,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"7 681,00"
"Зеркало Норма прямоугольное 1000х800 (LED-подсветка, сенсорный выключатель, диммер)",,,,д5858,бой в целой коробке,бой,Мир зеркал ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002063 от 15.09.2025 8:47:12,,Существенный,1,,"5 169,00"
"65 Умывальник ""Вилис"" 650",,,,д5829,заводской брак,скол эмали,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002061 от 12.09.2025 10:36:16,,Существенный,1,,"3 947,81"
"65 Умывальник ""Элеганс 650""",,,,д5830,заводской брак,холодный треск,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002045 от 01.09.2025 12:42:41,,Существенный,1,,"2 204,02"
"75 Умывальник ""Оскар 750""",,,,д5903,заводской брак,холодный треск,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002045 от 01.09.2025 12:42:41,,Существенный,1,,"4 329,28"
"Умывальник ""Комфорт"" 510*415 (белый с от/под смеситель, под кронш. и пьедестал Киров) Киров",,,,д5901,заводской брак,холодный треск,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002045 от 01.09.2025 12:42:41,,Существенный,1,,"1 771,26"
"Умывальник ""Комфорт"" 510*415 (белый с от/под смеситель, под кронш. и пьедестал Киров) Киров",,,,д5902,заводской брак,холодный треск,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002045 от 01.09.2025 12:42:41,,Существенный,1,,"1 771,26"
"Умывальник ""W101"" home de luxe 600*480*195 белый с болтами крепления и сливным хромированным кольцом",,,,д5940,заводской брак,мушка,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002054 от 04.09.2025 8:35:45,,Существенный,1,,"1 316,31"
"60 Зеркало-шкаф ""НИКА 60""  прав.",,,,д5936,заводской брак,отслоение пленки,ВЕРСАЛЬ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 376,22"
"75 Зеркало "" Gloria 75""",,,,д5969,заводской брак,Не срабатывает сенсор,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 004,90"
