№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
Акт_тек клиента,,,,,,,,,,,,,,,"205,0",,"998812,8"
Акт о браке 000022204 от 12.01.2026 9:02:09,,,,,,,,,,,,,,,"2,0",,"8388,4"
"1,0","Бачок для унитаза-компакта EG301T, арматура",,,,д7722,заводской брак,прыщ на бачке,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"1584,1"
"2,0","Унитаз-моноблок 5005 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7723,заводской брак,холодный треск,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"6804,3"
Акт о браке 000022205 от 12.01.2026 9:03:48,,,,,,,,,,,,,,,"1,0",,"5610,4"
"3,0","105 Зеркало-шкаф ""Каскад 105"" моринга",,,,д7794,не товарный вид клиент ,не радная упаковка,Овчинникова Марина Николаевна ИП (FSC),Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),,,1,,"5610,4"
Акт о браке 000022206 от 12.01.2026 9:06:55,,,,,,,,,,,,,,,"5,0",,"14738,6"
"4,0","Westland FS02C-N Душевая стойка со смесителем нержавейка, хром EvaGold",,,,д7752,заводской брак,царапина на тропическом душе,Китай - Чаотай,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002182 от 05.02.2026 10:17:26,,1,,"4654,4"
"5,0","Кнопка смыва EvaGold 04, пластик овал оружейная сталь для инсталляции EvaGold 400 и EvaGold 500",,,,д7749,заводской брак,царапина ,Китай - Тренд,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002180 от 05.02.2026 10:00:10,,1,,"1169,4"
"6,0","Кнопка смыва EvaGold 04, пластик овал оружейная сталь для инсталляции EvaGold 400 и EvaGold 500",,,,д7748,заводской брак,царапина ,Китай - Тренд,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002180 от 05.02.2026 10:00:10,,1,,"1169,4"
"7,0","Унитаз подвесной EG132T с круговым смывом безободковый, сиденье тонкое ДП, крепления",,,,д7755,бой при доставке,бой,Китай - Персн,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"4080,5"
"8,0","Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,д7756,заводской брак,бой,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3665,0"
Акт о браке 000022207 от 12.01.2026 9:08:20,,,,,,,,,,,,,,,"1,0",,"1680,1"
"9,0",Мойка 50х50 эмалир. МСК  в коробке(Казахстан) + крепления (100),,,,д7799,заводской брак,скол,Сантехпром ТОО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"1680,1"
Акт о браке 000022208 от 12.01.2026 9:10:50,,,,,,,,,,,,,,,"1,0",,"31593,4"
"10,0",Ванна ГМ 1350*1350*700 с насосом OLB-840 с переливом,,,,д7759,бой при хранении (клиент),"царапины ,снята пленка,нет упаковки ",Китай - Олуба,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"31593,4"
Акт о браке 000022211 от 12.01.2026 9:36:25,,,,,,,,,,,,,,,"1,0",,"10864,2"
"11,0","Коробка 2/4 Поддон, крыша, полочка, комплектующие в сборе к ДК 1806A-S/1806L/R-S",,,,д7795,заводской брак,трещена на поддоне,Китай - АОНИСИ,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002176 от 05.02.2026 9:50:26,,1,,"10864,2"
Акт о браке 000022212 от 12.01.2026 9:39:14,,,,,,,,,,,,,,,"1,0",,"6352,9"
"12,0","Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7797,течь,течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6352,9"
Акт о браке 000022213 от 12.01.2026 9:40:42,,,,,,,,,,,,,,,"1,0",,"2470,4"
"13,0","60 Тумба ""НК -60""  (ум. Уют 600)",,,,д7789,бой в целой коробке,бой задней планки,ВЕРСАЛЬ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"2470,4"
Акт о браке 000022214 от 12.01.2026 9:42:02,,,,,,,,,,,,,,,"1,0",,"3093,8"
"14,0","Унитаз-компакт ""Соло"" белый  Киров, гор. выпуск, ниж. подвод, сид. полипропилен, армат. 3/6",,,,д7790,заводской брак,холодный треск крышки бачка,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"3093,8"
Акт о браке 000022215 от 12.01.2026 9:42:32,,,,,,,,,,,,,,,"1,0",,"4202,5"
"15,0",Унитаз-компакт Элисса ОПТИМА  Белый нижний подвод (Старый Оскол),,,,д7791,заводской брак,холодный треск чаши,Строй Керамика Сервис,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"4202,5"
Акт о браке 000022233 от 12.01.2026 14:27:08,,,,,,,,,,,,,,,"1,0",,"6148,4"
"16,0","70 Тумба ""Fantasy 70"" 2ящ. венге ( ум. ""Фостер 700""/COMO 70)",,,,д7864,заводской брак,претензия покупателя,Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"6148,4"
Акт о браке 000022234 от 12.01.2026 14:32:02,,,,,,,,,,,,,,,"1,0",,"6252,5"
"17,0","Унитаз-компакт ""Комфорт"" черный декор, кос.выпуск, сид.полипропилен, армат. 3/6 Киров",,,,д7874,заводской брак,холодный треск,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"6252,5"
Акт о браке 000022235 от 12.01.2026 14:35:14,,,,,,,,,,,,,,,"1,0",,"2058,0"
"18,0","75 Умывальник ""Элеганс 750""",,,,д7865,заводской брак,плеш,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"2058,0"
Акт о браке 000022237 от 12.01.2026 14:41:59,,,,,,,,,,,,,,,"1,0",,"1078,8"
"19,0",Сиденье ДП с доводчиком для унитаза SM9612 тонкое,,,,д7868,Брак Сиденья ,"сломано сидение, трещина",Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"1078,8"
Акт о браке 000022238 от 12.01.2026 14:47:33,,,,,,,,,,,,,,,"1,0",,"978,9"
"20,0","Сиденье ДП с доводчиком для унитаза SM9614 (подходит к T1017, SM9601, SM9601R, 5003, T1087, K51) тонкое",,,,д7867,Брак Сиденья ,сломано сидение,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"978,9"
Акт о браке 000022239 от 12.01.2026 14:58:28,,,,,,,,,,,,,,,"2,0",,"9324,2"
"21,0","Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7693,течь,течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6657,5"
"22,0","60 Зеркало-шкаф ""Bamby 60""",,,,д7692,бой при хранении (клиент),отслоения пленки,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"2666,7"
